,PEOPLE_POSITIVE_CASES_COUNT,COUNTY_NAME,PROVINCE_STATE_NAME,REPORT_DATE,REPORT_DATE1,CONTINENT_NAME,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,COUNTY_FIPS_NUMBER,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,COUNTRY_ALPHA_2_CODE,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
36226,96,,,2020-05-13,2020-05-13,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,0,4
36227,3303,,,2021-09-26,2021-09-26,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,0,33
36228,3302,,,2021-09-24,2021-09-24,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,2,33
36229,2501,,,2021-05-23,2021-05-23,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,0,32
36230,2500,,,2021-05-21,2021-05-21,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,1,32
36231,1543,,,2021-02-02,2021-02-02,Europe,JHU CSSE Global Timeseries,3,,MCO,Monaco,MC,44,17
36232,101,,,2020-06-23,2020-06-23,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,0,4
36233,2599,,,2021-07-07,2021-07-07,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,4,33
36234,2577,,,2021-06-30,2021-06-30,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,1,33
36235,603,,,2020-11-27,2020-11-27,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,3,3
36236,3281,,,2021-09-13,2021-09-13,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,5,33
36237,2457,,,2021-05-02,2021-05-02,Europe,JHU CSSE Global Timeseries,0,,MCO,Monaco,MC,0,32
36238,2432,,,2021-04-25,2021-04-25,Europe,JHU CSSE Global Timeseries,1,,MCO,Monaco,MC,3,32
36239,27,,,2021-09-28,2021-09-28,Europe,JHU CSSE Global Timeseries,0,,VAT,Holy See,VA,0,0
36240,27,,,2021-09-29,2021-09-29,Europe,JHU CSSE Global Timeseries,0,,VAT,Holy See,VA,0,0
36241,27,,,2021-09-30,2021-09-30,Europe,JHU CSSE Global Timeseries,0,,VAT,Holy See,VA,0,0
36242,27,,,2021-10-01,2021-10-01,Europe,JHU CSSE Global Timeseries,0,,VAT,Holy See,VA,0,0
36243,0,,,2020-01-22,2020-01-22,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36244,0,,,2020-01-23,2020-01-23,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36245,0,,,2020-01-24,2020-01-24,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36246,0,,,2020-01-25,2020-01-25,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36247,0,,,2020-01-26,2020-01-26,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36248,0,,,2020-01-27,2020-01-27,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36249,0,,,2020-01-28,2020-01-28,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36250,0,,,2020-01-29,2020-01-29,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36251,0,,,2020-01-30,2020-01-30,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36252,0,,,2020-01-31,2020-01-31,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36253,0,,,2020-02-01,2020-02-01,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36254,0,,,2020-02-02,2020-02-02,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36255,0,,,2020-02-03,2020-02-03,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36256,0,,,2020-02-04,2020-02-04,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
36257,0,,,2020-02-05,2020-02-05,Europe,JHU CSSE Global Timeseries,0,,HUN,Hungary,HU,0,0
